(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0         9240        67           8           0
      1        14750         6           1       14743
      2           19         0          19           0
      3         3010         4           6        2999
      4        14806       139          59       14608
      5            4         0           3           0
      6            6         0           6           0
      7            4         0           3           0
      8         2591         1          10        2580
      9         2588       187           0        2400
     10         4082      1767         200        2115
     11         5461      3152         400        1909
     12         5541      4340         600         600
     13         5540      4820         720           0
     14         5520      4799         720           0
     15         5499      4778         720           0
     16         5478      4758         720           0
     17         5458      4737         720           0
     18         5437      4716         720           0
     19           23        20           2           0
     20           85        80           4           0
     21            3         1           2           0
     22            1         0           0           0
Average:     4136.78   1668.35
Throughout: 0.15/s
