1	N	48
1	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	2631
4	R	2631
4	W	2631
0	R	2631
4	J	2765
4	R	2765
4	W	2765
0	R	2765
4	J	2801
4	R	2801
4	W	2801
0	R	2801
4	J	2929
4	R	2929
4	W	2929
0	R	2929
4	J	3035
4	R	3035
6	N	3037
6	J	3038
4	W	3038
6	R	3038
6	E	3044
4	J	3044
4	R	3044
7	N	3044
7	J	3045
4	W	3045
7	R	3045
4	J	3047
7	E	3048
4	R	3048
4	W	3048
0	R	3048
3	J	3073
3	R	3073
3	W	3073
0	R	3073
4	J	3099
4	R	3099
4	W	3099
0	R	3099
4	J	8243
4	R	8243
4	W	8243
0	R	8244
4	J	8303
4	R	8303
4	W	8303
0	R	8303
4	J	8442
4	R	8442
4	W	8442
0	R	8442
4	J	8523
4	R	8523
4	W	8523
0	R	8523
4	J	8785
4	R	8785
4	W	8785
0	R	8785
4	J	8932
4	R	8932
4	W	8932
0	R	8932
4	J	8999
4	R	8999
4	W	8999
0	R	8999
4	J	9102
4	R	9102
4	W	9102
0	R	9102
4	J	9146
4	R	9146
4	W	9146
0	R	9146
4	J	9180
4	R	9180
4	W	9180
0	R	9180
4	J	9607
4	R	9607
4	W	9607
0	R	9607
4	J	9687
4	R	9687
4	W	9687
0	R	9687
4	J	9732
4	R	9732
4	W	9732
0	R	9732
4	J	9839
4	R	9839
4	W	9839
0	R	9839
4	J	10728
4	R	10728
4	W	10728
0	R	10728
4	J	10838
4	R	10838
4	W	10838
0	R	10838
4	J	10932
4	R	10932
4	W	10932
0	R	10932
4	J	11129
4	R	11129
4	W	11129
0	R	11129
4	J	12187
4	R	12188
8	N	12188
8	J	12189
4	W	12189
8	R	12189
9	N	12191
9	J	12191
10	N	12191
10	J	12192
11	N	12192
11	J	12193
12	N	12193
12	J	12193
13	N	12193
13	J	12194
14	N	12194
14	J	12195
15	N	12195
15	J	12195
16	N	12195
16	J	12196
17	N	12196
17	J	12197
18	N	12197
18	J	12197
8	W	12198
18	R	12199
18	J	12249
17	R	12249
17	J	12299
16	R	12299
16	J	12349
15	R	12349
15	J	12399
14	R	12399
14	J	12449
13	R	12449
13	J	12499
12	R	12499
12	J	12549
11	R	12549
11	J	12599
10	R	12599
10	J	12649
9	R	12649
9	W	12649
18	R	12649
18	J	12699
17	R	12699
17	J	12749
16	R	12749
9	J	12799
16	J	12799
9	R	12799
9	W	12799
15	R	12799
15	J	12849
14	R	12849
14	J	12899
13	R	12899
9	J	12949
13	J	12949
9	R	12949
9	W	12949
12	R	12949
12	J	12999
11	R	12999
11	J	13049
10	R	13049
9	J	13099
10	J	13099
9	R	13099
9	W	13099
18	R	13099
18	J	13149
17	R	13149
17	J	13199
16	R	13199
9	J	13249
16	J	13249
9	R	13249
9	W	13249
15	R	13249
15	J	13299
14	R	13299
14	J	13349
13	R	13349
9	J	13399
13	J	13399
9	R	13399
9	W	13399
12	R	13399
12	J	13449
11	R	13449
11	J	13499
10	R	13499
9	J	13549
10	J	13549
9	R	13549
9	W	13549
18	R	13549
18	J	13599
17	R	13599
17	J	13649
16	R	13649
9	J	13699
16	J	13699
9	R	13699
9	W	13699
15	R	13699
15	J	13749
14	R	13749
14	J	13799
13	R	13799
9	J	13849
13	J	13849
9	R	13849
9	W	13849
12	R	13849
12	J	13899
11	R	13899
11	J	13949
10	R	13949
9	J	13999
10	J	13999
9	R	13999
9	W	13999
18	R	13999
18	J	14049
17	R	14049
17	J	14099
16	R	14099
9	J	14149
16	J	14149
9	R	14149
